institutions_id;desc;university;img;url
1; Institute for Global Change Biology, School for Environment and Sustainability, University of Michigan, Ann Arbor, Michigan;University of Michigan;global-change-biology-logo.png;https://seas.umich.edu/globalchangebiology
2; Department of Ecology and Evolutionary Biology, University of Michigan, Ann Arbor, Michigan;University of Michigan
3; Ecological Synthesis and Biodiversity Conservation Lab, Department of Biology, Federal Rural University of Pernambuco, Recife, Brazil;Federal Rural University of Pernambuco;Federal_Rural_University_of_Pernambuco.jpg;https://www.ufrpe.br/
4; Escola de Educação e Humanidades, Universidade Católica de Pernambuco, Rua do Príncipe, n. 526, Boa Vista, Recife, Pernambuco, Brasil;Universidade Católica de Pernambuco
5; Museu de Arqueologia e Ciências Naturais da Universidade Católica de Pernambuco, Rua Oliveira Lima, 824, Boa Vista, Recife, Pernambuco, Brasil;Universidade Católica de Pernambuco
6; Graduate Program in Ethnobiology and Nature Conservation, Department of Biology, Federal Rural University of Pernambuco, Recife, Brazil; Federal Rural University of Pernambuco
7; Graduate Program in Biodiversity, Department of Biology, Federal Rural University of Pernambuco, Recife, Brazil;Federal Rural University of Pernambuco
8; Graduate Program in Natural Resources of Cerrado, State University of Goiás, Anápolis, Brazil;State University of Goiás
9; Biogeography and Aquatic Ecology Lab, State University of Goiás, Anápolis, Brazil;State University of Goiás
10; Department of Ecology and Evolutionary Biology, University of Arizona, Tucson, Arizona, USA;University of Arizona
11; Hawaii Institute of Marine Biology, University of Hawaii at Manoa, Hawaii, USA;University of Hawaii
