code,where,scale
50,Global,global
55,Global,global
88,Global,global
88,Global,global
92,Global,global
129,Global,global
129,Global,global
187,Global,global
219,Global,global
231,Global,global
237,Germany,global
238,Global,global
266,Global,global
283,Europe,global
295,Global,global
301,Global,global
301,Global,global
340,Global,global
345,Global,global
353,Global,global
376,Global,global
470,Americas,global
480,Global,global
492,Global,global
556,Global,global
619,Mexico,global
621,Global,global
627,Global,global
631,Tropical Ocean Atlantic,global
637,Global,global
679,Americas,global
716,Global,global
744,Australia,global
786,Global,global
863,Global,global
906,Global,global
1002,Brazil,global
1020,Global,global
1022,Global,global
1074,Global,global
1084,Global,global
1094,Mediterranean Sea,global
1145,Global,global
1148,Global,global
1166,Global,global
1197,Global,global
1316,Global,global
1358,Global,global
1370,Global,global
1458,Global,global
1483,Global,global
1535,Global,global
1535,Global,global
1542,Global,global
1581,Global,global
1605,Global,global
1663,Global,global
1741,Global,global
1745,Global,global
1800,Global,global
1913,Global,global
1922,Global,global
1980,Global,global
2024,Global,global
2036,Global,global
2062,Global,global
2111,Global,global
2250,Global,global
2331,Global,global
2341,Europe,global
2392,Global,global
2541,Global,global
2548,Global,global
2646,Neotropical Region,global
2683,Global,global
2706,Global,global
2731,Global,global
2755,Global,global
2840,Pacific Ocean,global
2848,Global,global
2999,Global,global
3105,Mediterranean Sea,global
3119,Global,global
3119,Global,global
3143,Global,global
3162,New World,global
3188,Mediterranean Sea,global
3205,Global,global
3218,Global,global
3266,Global,global
3305,Global,global
3460,Global,global
4012,Global,global
4100,North America,global
4170,Global,global
4200,California,global
5100,Global,global
5117,United States of America,global
5872,Global,global
6041,Global,global
6609,Global,global
6871,Northern Europe,global
6936,Global,global
7042,Global,global
7133,Global,global
1714,Global,global
1824,Global,global
577,Global,global
442,Global,global
2458,United States of America,global
429,Global,global
200,Global,global
