code,where,scale,lat_GD,long_GD
4,Norway,local,69.553157,18.631382
5,Brazil,local,-27.638728,-48.589256
8,Germany,local,51.39,11.88
14,United States of America,local,41.477222,-81.616511
15,Spain,local,,
15,Spain,local,,
29,Brazil,local,-23.007194,-43.825592
34,Germany,local,,
35,Brazil,local,-19.366944,-43.538056
38,Brazil,local,,
42,Tunisia,local,37.1,10.16666667
53,Portugal,local,,
53,Portugal,local,38.113855,-9.147271
54,Germany,local,54.183312,7.882744
61,United States of America,local,25.605264,-80.629931
62,Brazil,local,,
63,Hungary,local,47.6464,20.5936
63,Hungary,local,47.6464,20.5936
74,Italy,local,44.84111111,12.25333333
75,India,local,18.537218,73.639026
77,Mexico,local,20.412222,-89.753611
78,Venezuela,local,8.804854,-69.398002
78,Costa Rica,local,10.586967,-83.524041
80,Turkey,local,37.749957,31.527139
86,Mexico,local,20.9,-89.6
93,Mexico,local,19.467222,-96.929167
96,Brazil,local,,
99,Portugal,local,,
100,China,local,,
101,Germany,local,51.660194,8.222659
112,Germany,local,47.62898,9.386641
118,Mexico,local,,
119,Switzerland,local,47.474276,8.624965
123,United States of America,local,41.50339,-81.532745
124,Austria,local,48.104798,16.888937
125,Brazil,local,-15.583333,-39.25
127,Brazil,local,,
150,Spain,local,43.261755,-3.502635
153,China,local,,
156,Brazil,local,-22.818757,-53.455481
158,Japan,local,34,
160,Finland,local,60.17,24.94
160,Finland,local,60.17,24.94
161,China,local,30.71666667,111.25
163,Brazil,local,-22.290601,-41.693133
170,Netherlands,local,,
175,Brazil,local,,
182,Mexico,local,24.725303,-110.379261
189,Brazil,local,,
191,Norway,local,59.93729167,10.71990278
201,Slovenia,local,,
202,China,local,,
210,China,local,31.86,106.15
211,Czech Republic,local,,
212,Italy,local,,
214,South Africa,local,-33.498414,26.497311
216,South Africa,local,-25.256307,27.198298
217,China,local,29.576096,101.998624
220,Ecuador,local,-0.485,-78.14194444
221,Mongolia,local,,
223,United Kingdom,local,52.45,0.666667
230,Malaysia,local,4.672361,117.977877
235,Brazil,local,-10.06666667,-67.61666667
251,Norway,local,60.277679,10.222755
260,France,local,,
265,Portugal,local,40.24888889,-8.324722222
270,United States of America,local,,
274,India,local,,
308,United States of America,local,,
311,Cambodia,local,13.682452,106.496426
316,Colombia,local,4.683333,-75.666667
317,Argentina,local,,
324,Germany,local,53.758611,7.725
326,Spain,local,,
329,Italy,local,,
331,United Kingdom,local,,
335,Honduras,local,,
337,Slovenia,local,46.145079,13.730088
338,China,local,,
350,Brazil,local,,
356,China,local,31.416.667,109.166.667
386,Vietnam,local,20.350.000,105.033.333
392,Germany,local,,
398,Brazil,local,-24.16666667,-50.61666667
400,Brazil,local,,
401,New Zealand,local,,
405,South Africa,local,-33.3026,26.532435
413,United States of America,local,,
414,United States of America,local,34.240325,-95.490122
414,United States of America,local,34.240325,-95.490122
415,Switzerland,local,,
427,Canada,local,,
428,Norway,local,62.845205,7.092295
443,Hungary,local,47.1625,19.5033
447,China,local,30.416667,112.883333
447,China,local,30.416667,112.883333
456,Canada,local,49.827,-102.299
465,Cameroon,local,,
466,Canada,local,,
469,United States of America,local,32.19138889,-81.41611111
473,Colombia,local,3.75,-76.5
473,Colombia,local,3.75,-76.5
474,Spain,local,,
475,Brazil,local,,
487,Canada,local,,
489,Austria,local,,
490,Poland,local,7.383.333,12.816.667
494,India,local,,
498,Switzerland,local,,
505,China,local,,
