code,where,scale
2,Spain,regional
3,Poland,regional
11,Vietnam,regional
18,Greece,regional
22,Spain,regional
22,Morocco,regional
22,France,regional
22,Sweden,regional
22,Slovakia,regional
26,Europe,regional
33,United States of America,regional
33,United States of America,regional
36,Japan,regional
37,Finland,regional
39,New Zealand,regional
43,United Kingdom,regional
43,United Kingdom,regional
44,Canada,regional
48,South Africa,regional
48,South Africa,regional
48,South Africa,regional
49,New Zealand,regional
52,Spain,regional
56,Brazil,regional
57,Brazil,regional
58,Poland,regional
66,Argentina,regional
70,United States of America,regional
72,Italy,regional
73,Australia,regional
82,Brazil,regional
84,Ecuador,regional
98,South Africa,regional
103,Switzerland,regional
107,United States of America,regional
108,China,regional
110,Australia,regional
111,Brazil,regional
117,South Africa,regional
120,China,regional
121,Brazil,regional
122,Costa Rica,regional
122,Mexico,regional
122,Guatemala,regional
122,Peru,regional
122,Brazil,regional
126,China,regional
128,United States of America,regional
134,United States of America,regional
142,India,regional
144,United States of America,regional
145,Czech Republic,regional
148,Spain,regional
148,Germany,regional
148,Romania,regional
148,Italy,regional
148,Poland,regional
148,Finland,regional
149,India,regional
151,United Kingdom,regional
168,Slovakia,regional
178,Brazil,regional
188,Colombia,regional
188,Peru,regional
188,Ecuador,regional
188,Bolivia,regional
188,Argentina,regional
190,Japan,regional
204,United States of America,regional
204,The Bahamas,regional
204,Haiti,regional
204,Jamaica,regional
204,Colombia,regional
204,Honduras,regional
204,Guatemala,regional
204,Belize,regional
204,Mexico,regional
209,Germany,regional
215,Mexico,regional
222,Brazil,regional
225,Canada,regional
228,Brazil,regional
233,Brazil,regional
236,Argentina,regional
239,Colombia,regional
240,Canada,regional
240,Mexico,regional
240,United States of America,regional
242,Italy,regional
247,Spain,regional
247,Netherlands,regional
247,Germany,regional
247,Czech Republic,regional
247,Poland,regional
247,Finland,regional
250,Montserrat,regional
255,United States of America,regional
258,Brazil,regional
263,Baltic Sea,regional
271,United Republic of Tanzania,regional
271,Mozambique,regional
278,Mexico,regional
278,Mexico,regional
279,South Africa,regional
281,Germany,regional
284,South Africa,regional
288,Czech Republic,regional
289,United States of America,regional
292,Indonesia,regional
296,Australia,regional
299,Mexico,regional
300,United States of America,regional
306,Madagascar,regional
310,United States of America,regional
314,France,regional
318,Brazil,regional
321,China,regional
325,Finland,regional
327,Italy,regional
328,Brazil,regional
330,Spain,regional
332,Northwest Atlantic,regional
336,Brazil,regional
341,France,regional
341,France,regional
341,France,regional
341,France,regional
341,France,regional
341,France,regional
343,Jamaica,regional
343,French Polynesia,regional
348,Italy,regional
349,Norway,regional
351,Switzerland,regional
351,Switzerland,regional
352,Italy,regional
358,Mexico,regional
360,Brazil,regional
373,Hungary,regional
375,Italy,regional
377,Brazil,regional
381,Spain,regional
382,United States of America,regional
384,Italy,regional
387,Brazil,regional
389,Brazil,regional
390,Kenya,regional
393,Italy,regional
403,France,regional
406,Brazil,regional
409,United States of America,regional
411,Austria,regional
424,France,regional
430,United States of America,regional
433,United States of America,regional
438,Italy,regional
446,South Africa,regional
446,South Africa,regional
446,South Africa,regional
448,Argentina,regional
451,United States of America,regional
454,South Africa,regional
457,Australia,regional
458,Northwest Atlantic,regional
460,Peru,regional
462,New Zealand,regional
468,Albania,regional
477,United States of America,regional
478,Brazil,regional
479,Brazil,regional
481,Brazil,regional
482,China,regional
483,Australia,regional
485,Seychelles,regional
485,Spain,regional
489,Austria,regional
499,Australia,regional
507,Brazil,regional
508,Brazil,regional
509,United States of America,regional
513,United States of America,regional
517,France,regional
519,China,regional
525,Australia,regional
531,North Atlantic,regional
533,Zambia,regional
534,China,regional
540,Brazil,regional
542,France,regional
544,United States of America,regional
546,Mexico,regional
550,Brazil,regional
550,Argentina,regional
550,Guyana,regional
550,Suriname,regional
550,Venezuela,regional
550,Colombia,regional
550,Ecuador,regional
550,Peru,regional
550,Bolivia,regional
550,Mexico,regional
550,Costa Rica,regional
550,Panama,regional
550,Zambia,regional
550,Senegal,regional
550,Ivory Coast,regional
550,Ghana,regional
550,Cameroon,regional
550,Somalia,regional
550,Zimbabwe,regional
550,Botswana,regional
550,Madagascar,regional
550,South Africa,regional
562,Brazil,regional
565,Spain,regional
567,Germany,regional
567,Germany,regional
567,Germany,regional
568,Hungary,regional
572,Spain,regional
580,United States of America,regional
581,Finland,regional
581,Poland,regional
581,Germany,regional
581,Romania,regional
581,Italy,regional
581,Spain,regional
585,Greece,regional
597,Australia,regional
603,Colombia,regional
607,United States of America,regional
